,n_pixel,deforestation_ha,cumulative deforestation_ha,remaining_ha,percentage,year
0,205983,1853847,0,7801740,100.0,2000
1,20565,185085,185085,7616655,98.0,2001
2,18463,166167,351252,7450488,95.0,2002
3,7451,67059,418311,7383429,95.0,2003
4,31683,285147,703458,7098282,91.0,2004
5,20835,187515,890973,6910767,89.0,2005
6,40139,361251,1252224,6549516,84.0,2006
7,36181,325629,1577853,6223887,80.0,2007
8,43760,393840,1971693,5830047,75.0,2008
9,40135,361215,2332908,5468832,70.0,2009
10,16082,144738,2477646,5324094,68.0,2010
11,18382,165438,2643084,5158656,66.0,2011
12,63715,573435,3216519,4585221,59.0,2012
13,22167,199503,3416022,4385718,56.0,2013
14,31849,286641,3702663,4099077,53.0,2014
15,27324,245916,3948579,3853161,49.0,2015
16,55996,503964,4452543,3349197,43.0,2016
17,30593,275337,4727880,3073860,39.0,2017
18,26966,242694,4970574,2831166,36.0,2018
19,24079,216711,5187285,2614455,34.0,2019
20,28566,257094,5444379,2357361,30.0,2020
21,25076,225684,5670063,2131677,27.0,2021
22,30870,277830,5947893,1853847,24.0,2022
